"School.Type"	"Enrolment"	"Percentage.of.Students.Whose.First.Language.Is.Not.English"	"Percentage.of.Students.Whose.First.Language.Is.Not.French"	"Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country"	"Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country"	"Percentage.of.Students.Receiving.Special.Education.Services"	"Gifted"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics"	"Percentage.of.Children.Who.Live.in.Low.Income.Households"	"Percentage.of.Students.Whose.Parents.Have.Some.University.Education"	"FSL.Core"	"FSL.Extended"	"FSL.Immersion"	"Gender.Ratio.M.to.F"	"Enrol_sum_all"	"Enrol_sum_JKto3"	"Enrol_sum_4to6"
"Public"	"Highest"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Lowest"	"Highest"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Lowest"	"Highest"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Highest"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"Low"	"Medium"	"Medium"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Low"	"Highest"	"Highest"	"Low"	"FALSE"	"High"	"Medium"	"Medium"	"Lowest"	"Medium"	"Medium"	"Highest"	"High"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Lowest"	"Highest"	"Lowest"	"Medium"	"Medium"	"High"	"FALSE"	"High"	"Medium"	"High"	"Medium"	"High"	"Highest"	"High"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"High"	"Low"	"High"	"High"	"Highest"	"FALSE"	"Lowest"	"Low"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"High"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"High"	"Lowest"	"Medium"	"High"	"Lowest"	"FALSE"	"Highest"	"Highest"	"Highest"	"High"	"High"	"Medium"	"High"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Low"	"Low"	"Highest"	"Lowest"	"Lowest"	"FALSE"	"High"	"Medium"	"High"	"High"	"Highest"	"Highest"	"Medium"	"Highest"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Medium"	"Lowest"	"Low"	"Low"	"Low"	"FALSE"	"Highest"	"High"	"High"	"Highest"	"High"	"High"	"Low"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Low"	"High"	"High"	"High"	"FALSE"	"Low"	"Medium"	"Medium"	"Lowest"	"Low"	"Lowest"	"Highest"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"High"	"Lowest"	"High"	"High"	"Highest"	"FALSE"	"High"	"Medium"	"Low"	"Lowest"	"Lowest"	"Lowest"	"High"	"High"	"YES"	"YES"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"High"	"Low"	"Highest"	"Highest"	"High"	"FALSE"	"Lowest"	"Lowest"	"Low"	"Low"	"Lowest"	"Medium"	"High"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"High"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Highest"	"Low"	"Highest"	"Highest"	"Lowest"	"FALSE"	"Medium"	"Low"	"High"	"Low"	"High"	"Medium"	"Highest"	"High"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Low"	"Low"	"Lowest"	"Lowest"	"Low"	"TRUE"	"High"	"High"	"Highest"	"Highest"	"Highest"	"Highest"	"Lowest"	"Highest"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Highest"	"Lowest"	"Medium"	"Medium"	"Medium"	"FALSE"	"Low"	"Medium"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Highest"	"Low"	"Highest"	"Highest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"High"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Highest"	"Low"	"High"	"High"	"High"	"FALSE"	"Medium"	"Medium"	"Medium"	"Medium"	"Medium"	"High"	"High"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Highest"	"Low"	"Low"	"Low"	"Lowest"	"FALSE"	"High"	"Medium"	"Medium"	"High"	"High"	"High"	"Medium"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Medium"	"Low"	"Highest"	"Highest"	"Medium"	"FALSE"	"Medium"	"Medium"	"Medium"	"Highest"	"High"	"Highest"	"Lowest"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Highest"	"Low"	"Highest"	"Highest"	"Highest"	"FALSE"	"Low"	"Medium"	"Low"	"Lowest"	"Low"	"Lowest"	"Highest"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Highest"	"Low"	"High"	"High"	"Highest"	"FALSE"	"Low"	"Medium"	"Low"	"Low"	"High"	"Medium"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Medium"	"Low"	"Lowest"	"Lowest"	"Low"	"FALSE"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Low"	"Lowest"	"High"	"High"	"YES"	"YES"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Low"	"High"	"High"	"Low"	"FALSE"	"Medium"	"Highest"	"High"	"Highest"	"High"	"Highest"	"High"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Low"	"Highest"	"Highest"	"Medium"	"FALSE"	"Low"	"Low"	"Low"	"Medium"	"Medium"	"High"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Highest"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Medium"	"High"	"Medium"	"High"	"Highest"	"Medium"	"Highest"	"Medium"	"YES"	"YES"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Highest"	"Low"	"Highest"	"Highest"	"Lowest"	"FALSE"	"High"	"Highest"	"Highest"	"Low"	"Medium"	"Highest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Low"	"Highest"	"Highest"	"Lowest"	"FALSE"	"High"	"High"	"Highest"	"Medium"	"Medium"	"Highest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Highest"	"Low"	"Highest"	"Highest"	"Lowest"	"FALSE"	"Low"	"Lowest"	"Lowest"	"Medium"	"High"	"Highest"	"Highest"	"Low"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Low"	"Highest"	"Highest"	"Lowest"	"FALSE"	"Medium"	"High"	"Medium"	"Medium"	"Medium"	"High"	"Highest"	"High"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"High"	"Lowest"	"Highest"	"Highest"	"Low"	"FALSE"	"High"	"Highest"	"Highest"	"Medium"	"Medium"	"High"	"Medium"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Medium"	"Lowest"	"Highest"	"Highest"	"Medium"	"FALSE"	"Highest"	"High"	"High"	"Medium"	"Medium"	"Low"	"Low"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Lowest"	"Low"	"Lowest"	"Low"	"Low"	"Low"	"FALSE"	"High"	"High"	"Highest"	"Low"	"Medium"	"Low"	"Lowest"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Highest"	"Lowest"	"Highest"	"Highest"	"High"	"FALSE"	"Low"	"Medium"	"Medium"	"Lowest"	"Low"	"Low"	"High"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Low"	"Low"	"Lowest"	"Lowest"	"Lowest"	"FALSE"	"Highest"	"High"	"Highest"	"Highest"	"Highest"	"High"	"Lowest"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"High"	"Low"	"Medium"	"Medium"	"Low"	"FALSE"	"High"	"Highest"	"High"	"Highest"	"Highest"	"High"	"Low"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Highest"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"High"	"High"	"Highest"	"Medium"	"Medium"	"Lowest"	"High"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Lowest"	"Highest"	"Highest"	"Lowest"	"FALSE"	"High"	"Medium"	"High"	"Low"	"Low"	"Low"	"High"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Low"	"Lowest"	"Lowest"	"Lowest"	"High"	"TRUE"	"High"	"Lowest"	"Medium"	"Highest"	"Medium"	"Highest"	"Lowest"	"Highest"	"YES"	"YES"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Lowest"	"Lowest"	"Highest"	"Highest"	"Lowest"	"FALSE"	"Highest"	"Highest"	"Medium"	"Medium"	"Medium"	"High"	"Low"	"Highest"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Lowest"	"Highest"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Medium"	"Highest"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"High"	"Low"	"High"	"High"	"Low"	"FALSE"	"Highest"	"Highest"	"Highest"	"Low"	"Low"	"Low"	"Low"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Medium"	"Low"	"Highest"	"Highest"	"Highest"	"FALSE"	"Low"	"Medium"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"High"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Low"	"Low"	"Lowest"	"Lowest"	"Highest"	"TRUE"	"Low"	"Low"	"Low"	"Highest"	"High"	"High"	"Low"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"High"	"Medium"	"Lowest"	"Highest"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Lowest"	"Highest"	"Lowest"	"Highest"	"Highest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Highest"	"Low"	"Highest"	"Highest"	"Highest"	"TRUE"	"Lowest"	"High"	"Lowest"	"Low"	"Low"	"Lowest"	"High"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Lowest"	"Highest"	"Highest"	"Low"	"FALSE"	"Highest"	"Highest"	"Highest"	"High"	"Highest"	"Highest"	"High"	"Highest"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Low"	"Highest"	"Highest"	"Lowest"	"FALSE"	"Medium"	"Medium"	"Medium"	"Low"	"Low"	"Medium"	"Highest"	"High"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Medium"	"Low"	"Low"	"Lowest"	"Low"	"FALSE"	"Lowest"	"Lowest"	"Low"	"Low"	"Low"	"Low"	"Medium"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Low"	"High"	"High"	"Low"	"FALSE"	"High"	"Highest"	"Medium"	"Medium"	"Low"	"Medium"	"Highest"	"High"	"YES"	"YES"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Lowest"	"Medium"	"Low"	"Highest"	"Highest"	"High"	"FALSE"	"Highest"	"Highest"	"Medium"	"Medium"	"Highest"	"Low"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Lowest"	"High"	"Lowest"	"Highest"	"Highest"	"High"	"FALSE"	"High"	"High"	"Lowest"	"Highest"	"Medium"	"Medium"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"High"	"Low"	"Medium"	"Medium"	"Lowest"	"FALSE"	"Highest"	"High"	"High"	"High"	"Highest"	"Medium"	"Lowest"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Highest"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"Lowest"	"Low"	"Lowest"	"Low"	"Medium"	"Low"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Lowest"	"Highest"	"Low"	"Highest"	"Highest"	"High"	"FALSE"	"Medium"	"High"	"Medium"	"Lowest"	"Low"	"Lowest"	"High"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Highest"	"Low"	"High"	"High"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"High"	"Lowest"	"Medium"	"Medium"	"Highest"	"FALSE"	"Low"	"Lowest"	"Lowest"	"Low"	"Medium"	"Medium"	"Highest"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Low"	"FALSE"	"Low"	"Medium"	"High"	"Highest"	"High"	"High"	"Low"	"Highest"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Lowest"	"Medium"	"Low"	"Highest"	"Highest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"High"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"High"	"Lowest"	"Highest"	"Highest"	"Lowest"	"FALSE"	"Medium"	"Low"	"Medium"	"Medium"	"High"	"Lowest"	"Medium"	"High"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Highest"	"Low"	"Low"	"Low"	"High"	"FALSE"	"Medium"	"Medium"	"Medium"	"High"	"High"	"Medium"	"Highest"	"Lowest"	"YES"	"YES"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Medium"	"Low"	"Low"	"Low"	"Medium"	"FALSE"	"Highest"	"Highest"	"High"	"Highest"	"Highest"	"High"	"High"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Highest"	"Low"	"Highest"	"Highest"	"High"	"FALSE"	"Low"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Highest"	"Low"	"High"	"High"	"Lowest"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"High"	"High"	"High"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Highest"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Low"	"Low"	"Lowest"	"Medium"	"Low"	"Highest"	"High"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"High"	"Low"	"Low"	"Lowest"	"Low"	"FALSE"	"Medium"	"High"	"Medium"	"Low"	"Highest"	"Low"	"Medium"	"High"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"High"	"Low"	"Low"	"Lowest"	"Medium"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"High"	"Low"	"Low"	"Low"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Highest"	"Low"	"Highest"	"Highest"	"Low"	"FALSE"	"High"	"Highest"	"Highest"	"Lowest"	"Low"	"Medium"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"High"	"Lowest"	"Low"	"Medium"	"Lowest"	"FALSE"	"Lowest"	"Lowest"	"High"	"High"	"High"	"High"	"Medium"	"High"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Low"	"Lowest"	"Lowest"	"Medium"	"FALSE"	"Medium"	"High"	"High"	"High"	"High"	"High"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Low"	"High"	"High"	"Lowest"	"FALSE"	"High"	"High"	"Highest"	"Highest"	"Highest"	"Highest"	"High"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Highest"	"Low"	"Highest"	"Highest"	"High"	"FALSE"	"Medium"	"High"	"Medium"	"High"	"High"	"High"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"High"	"Low"	"Low"	"Lowest"	"Highest"	"TRUE"	"Lowest"	"Low"	"Lowest"	"Medium"	"Low"	"High"	"Low"	"High"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Highest"	"Low"	"High"	"High"	"Low"	"FALSE"	"High"	"Medium"	"High"	"Medium"	"Low"	"Highest"	"High"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Lowest"	"Medium"	"Low"	"Highest"	"Highest"	"Low"	"FALSE"	"Highest"	"High"	"High"	"Medium"	"Low"	"Medium"	"High"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Lowest"	"Low"	"Low"	"Lowest"	"Low"	"FALSE"	"High"	"High"	"High"	"Highest"	"Highest"	"High"	"Lowest"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Highest"	"Low"	"High"	"High"	"High"	"FALSE"	"Lowest"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Medium"	"Low"	"High"	"High"	"Low"	"FALSE"	"High"	"High"	"High"	"Low"	"Lowest"	"Low"	"Medium"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Highest"	"Low"	"Highest"	"Highest"	"High"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"High"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Highest"	"Lowest"	"Highest"	"Highest"	"Low"	"FALSE"	"Low"	"Low"	"Lowest"	"Low"	"Low"	"Medium"	"Highest"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Low"	"Lowest"	"Lowest"	"Medium"	"FALSE"	"Highest"	"Highest"	"Medium"	"High"	"High"	"Highest"	"High"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Low"	"Lowest"	"Medium"	"Medium"	"Low"	"FALSE"	"High"	"Low"	"High"	"High"	"High"	"High"	"Lowest"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Highest"	"Low"	"Highest"	"Highest"	"Medium"	"FALSE"	"High"	"High"	"Low"	"Medium"	"High"	"High"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Highest"	"Low"	"Highest"	"Highest"	"Lowest"	"FALSE"	"Low"	"Lowest"	"Low"	"High"	"Medium"	"Low"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"High"	"Low"	"Low"	"Low"	"Low"	"FALSE"	"Highest"	"High"	"High"	"Highest"	"Highest"	"Highest"	"Lowest"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Highest"	"Low"	"Low"	"Lowest"	"High"	"FALSE"	"Low"	"Low"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"YES"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Low"	"Lowest"	"Low"	"High"	"High"	"Low"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Lowest"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Highest"	"Low"	"High"	"High"	"High"	"FALSE"	"Lowest"	"Medium"	"Lowest"	"Medium"	"Low"	"Low"	"Highest"	"Low"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Highest"	"Low"	"Lowest"	"Lowest"	"Medium"	"FALSE"	"Low"	"Medium"	"Low"	"Medium"	"High"	"Low"	"High"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"High"	"Low"	"Low"	"Low"	"Highest"	"FALSE"	"Medium"	"Medium"	"Lowest"	"Medium"	"Medium"	"Low"	"High"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Highest"	"Low"	"Highest"	"Highest"	"Lowest"	"FALSE"	"Medium"	"Low"	"High"	"High"	"High"	"Highest"	"High"	"Medium"	"YES"	"YES"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Highest"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Low"	"Low"	"Low"	"Highest"	"Highest"	"Highest"	"Highest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"High"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"Lowest"	"Medium"	"Medium"	"Low"	"Low"	"Medium"	"High"	"High"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"High"	"Lowest"	"Medium"	"Medium"	"Lowest"	"FALSE"	"Low"	"Low"	"Low"	"Highest"	"Medium"	"High"	"High"	"High"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Low"	"Low"	"Low"	"Medium"	"Low"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Lowest"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Lowest"	"Highest"	"Low"	"Highest"	"Highest"	"Lowest"	"FALSE"	"High"	"Low"	"High"	"Highest"	"Highest"	"Highest"	"Low"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Highest"	"Medium"	"Low"	"Low"	"Lowest"	"Low"	"TRUE"	"Medium"	"Low"	"High"	"Highest"	"High"	"Highest"	"Medium"	"High"	"YES"	"YES"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Lowest"	"Low"	"Low"	"Lowest"	"Lowest"	"FALSE"	"High"	"Medium"	"High"	"High"	"High"	"High"	"Lowest"	"Highest"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Highest"	"Lowest"	"Highest"	"Highest"	"High"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Low"	"Highest"	"Medium"	"YES"	"NO"	"YES"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Medium"	"Highest"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Medium"	"Medium"	"Medium"	"Medium"	"High"	"Highest"	"High"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"High"	"Highest"	"Low"	"Highest"	"Highest"	"Lowest"	"FALSE"	"Low"	"Low"	"Medium"	"Low"	"Low"	"High"	"Highest"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
"Public"	"Lowest"	"Highest"	"Lowest"	"Highest"	"Highest"	"Low"	"FALSE"	"High"	"Highest"	"Highest"	"High"	"High"	"High"	"Highest"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Highest"	"Highest"	"Highest"
