"","School.Type","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Gender.Ratio.M.to.F","Enrol_sum_all","Enrol_sum_JKto3","Enrol_sum_4to6"
"789","Public","High","Highest","Low","Highest","Highest","Low","FALSE","Highest","Highest","Highest","Low","Low","High","High","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"790","Public","Highest","Highest","Low","Highest","Highest","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"791","Public","Medium","Highest","Low","High","High","Highest","FALSE","Highest","High","High","Lowest","Lowest","Lowest","Highest","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"794","Public","Lowest","Medium","Low","Highest","Highest","High","FALSE","High","Medium","Medium","Medium","Lowest","Low","Low","High","YES","YES","NO","Highest","Highest","Highest","Highest"
"796","Public","Highest","Highest","Low","High","High","Low","FALSE","High","Medium","Medium","Medium","Medium","Low","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"798","Public","Medium","Highest","Lowest","Medium","Medium","Medium","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Highest","Medium","YES","NO","YES","Highest","Highest","Highest","Highest"
"799","Public","Low","Highest","Low","Highest","Highest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Highest","Lowest","YES","NO","NO","Highest","Highest","Highest","Highest"
"801","Public","Medium","Highest","Low","Highest","Highest","Lowest","FALSE","Highest","Highest","Highest","High","Highest","Highest","High","Lowest","YES","NO","NO","Highest","Highest","Highest","Highest"
"802","Public","Low","High","Low","Highest","Highest","Medium","FALSE","Highest","Highest","Medium","High","Highest","Medium","High","Low","YES","YES","NO","Highest","Highest","Highest","Highest"
"803","Public","Medium","High","Low","Highest","Highest","Highest","FALSE","Lowest","Medium","Lowest","Low","Lowest","Low","Highest","Low","YES","NO","YES","Highest","Highest","Highest","Highest"
"804","Public","Medium","High","Low","Medium","Medium","High","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Lowest","Medium","High","YES","NO","NO","Highest","Highest","Highest","Highest"
"807","Public","Lowest","Highest","Low","Highest","Highest","Low","FALSE","High","High","Highest","Low","Lowest","Low","Medium","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"808","Public","Medium","Highest","Low","High","High","Highest","TRUE","High","Medium","Medium","High","High","Highest","High","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"811","Public","High","Highest","Low","Highest","Highest","Medium","FALSE","Low","Lowest","Lowest","Low","Medium","Lowest","Highest","High","YES","NO","NO","Highest","Highest","Highest","Highest"
"812","Public","Medium","Low","Low","Highest","Highest","Highest","TRUE","Highest","Highest","Highest","Highest","Highest","Highest","Lowest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"813","Public","High","Low","Lowest","Lowest","Lowest","Lowest","FALSE","Medium","Low","High","Highest","High","Low","Lowest","Highest","YES","NO","YES","Highest","Highest","Highest","Highest"
"814","Public","Lowest","Highest","Low","Highest","Highest","Low","FALSE","Lowest","Lowest","Low","Highest","Low","Low","High","Lowest","YES","NO","NO","Highest","Highest","Highest","Highest"
"815","Public","Highest","Low","Lowest","Low","Lowest","Lowest","FALSE","Lowest","Lowest","Low","Highest","Highest","Highest","Lowest","Highest","YES","NO","YES","Highest","Highest","Highest","Highest"
"819","Public","Medium","Medium","Low","Low","Lowest","Medium","FALSE","High","Highest","Highest","Highest","High","High","Medium","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"822","Public","Lowest","Highest","Low","Highest","Highest","Medium","FALSE","Low","Low","Medium","Medium","High","Low","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"823","Public","Highest","High","Lowest","Medium","Medium","Lowest","TRUE","Highest","Highest","Highest","Highest","Highest","Highest","Medium","Highest","YES","YES","NO","Highest","Highest","Highest","Highest"
"829","Public","Medium","Highest","Lowest","Highest","Highest","Lowest","FALSE","High","Medium","High","Lowest","Lowest","Low","Highest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"830","Public","Highest","Medium","Low","Lowest","Lowest","Highest","TRUE","Low","Low","Low","High","High","High","High","Highest","YES","YES","YES","Highest","Highest","Highest","Highest"
"831","Public","Medium","Highest","Low","Low","Lowest","Medium","FALSE","High","High","High","Medium","Low","High","Medium","Lowest","YES","NO","NO","Highest","Highest","Highest","Highest"
"832","Public","Medium","Highest","Low","High","High","Highest","TRUE","High","Highest","High","Highest","Highest","Highest","Highest","High","YES","NO","NO","Highest","Highest","Highest","Highest"
"834","Public","High","Highest","Low","Highest","Highest","Lowest","FALSE","High","Highest","Highest","Highest","Highest","Highest","Medium","Highest","YES","YES","YES","Highest","Highest","Highest","Highest"
"839","Public","Highest","High","Low","High","High","Highest","FALSE","Low","High","Low","Lowest","Lowest","Lowest","Highest","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"840","Public","High","Highest","Low","Highest","Highest","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"842","Public","Highest","Low","Lowest","Lowest","Lowest","Lowest","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Lowest","Highest","YES","NO","YES","Highest","Highest","Highest","Highest"
"843","Public","Lowest","Highest","Low","Medium","Medium","Medium","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"845","Public","Medium","Highest","Low","Medium","Medium","Highest","FALSE","Low","Medium","Medium","Lowest","Lowest","Lowest","Highest","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"847","Public","Highest","Highest","Low","Highest","Highest","Low","FALSE","High","Medium","Medium","Lowest","Medium","Medium","Highest","High","YES","NO","NO","Highest","Highest","Highest","Highest"
"849","Public","Lowest","Highest","Lowest","Medium","Medium","High","FALSE","High","Medium","High","Medium","High","Highest","High","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"850","Public","Low","High","Low","High","High","Highest","FALSE","Lowest","Low","Low","Lowest","Lowest","Lowest","Highest","High","YES","NO","NO","Highest","Highest","Highest","Highest"
"853","Public","Low","High","Lowest","Medium","High","Lowest","FALSE","Highest","Highest","Highest","High","High","Medium","High","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"855","Public","Highest","Low","Low","Highest","Lowest","Lowest","FALSE","High","Medium","High","High","Highest","Highest","Medium","Highest","YES","NO","YES","Highest","Highest","Highest","Highest"
"859","Public","Medium","Medium","Lowest","Low","Low","Low","FALSE","Highest","High","High","Highest","High","High","Low","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"862","Public","Highest","Highest","Low","High","High","High","FALSE","Low","Medium","Medium","Lowest","Low","Lowest","Highest","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"863","Public","Medium","High","Lowest","High","High","Highest","FALSE","High","Medium","Low","Lowest","Lowest","Lowest","High","High","YES","YES","NO","Highest","Highest","Highest","Highest"
"865","Public","Medium","High","Low","Highest","Highest","High","FALSE","Lowest","Lowest","Low","Low","Lowest","Medium","High","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"869","Public","High","High","Low","Low","Lowest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"872","Public","Low","Highest","Low","Highest","Highest","Lowest","FALSE","Medium","Low","High","Low","High","Medium","Highest","High","YES","NO","NO","Highest","Highest","Highest","Highest"
"873","Public","Highest","Low","Low","Lowest","Lowest","Low","TRUE","High","High","Highest","Highest","Highest","Highest","Lowest","Highest","YES","NO","YES","Highest","Highest","Highest","Highest"
"875","Public","Low","Highest","Lowest","Medium","Medium","Medium","FALSE","Low","Medium","Low","Low","Medium","Medium","Highest","Lowest","YES","NO","NO","Highest","Highest","Highest","Highest"
"876","Public","Low","Highest","Low","Highest","Highest","Highest","FALSE","Lowest","Lowest","Low","Low","Medium","Medium","Highest","High","YES","NO","NO","Highest","Highest","Highest","Highest"
"880","Public","High","Highest","Low","High","High","High","FALSE","Medium","Medium","Medium","Medium","Medium","High","High","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"883","Public","Low","Highest","Low","Low","Low","Lowest","FALSE","High","Medium","Medium","High","High","High","Medium","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"884","Public","Low","Medium","Low","Highest","Highest","Medium","FALSE","Medium","Medium","Medium","Highest","High","Highest","Lowest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"889","Public","Low","Highest","Low","Highest","Highest","Highest","FALSE","Low","Medium","Low","Lowest","Low","Lowest","Highest","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"893","Public","Medium","Highest","Low","High","High","Highest","FALSE","Low","Medium","Low","Low","High","Medium","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"898","Public","Highest","Medium","Low","Lowest","Lowest","Low","FALSE","Lowest","Lowest","Low","Lowest","Low","Lowest","High","High","YES","YES","YES","Highest","Highest","Highest","Highest"
"906","Public","Highest","Highest","Low","High","High","Low","FALSE","Medium","Highest","High","Highest","High","Highest","High","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"907","Public","Highest","Highest","Low","Highest","Highest","Medium","FALSE","Low","Low","Low","Medium","Medium","High","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"908","Public","High","Highest","Low","High","High","Medium","FALSE","Medium","High","Medium","High","Highest","Medium","Highest","Medium","YES","YES","NO","Highest","Highest","Highest","Highest"
"911","Public","Low","Highest","Low","Highest","Highest","Lowest","FALSE","High","Highest","Highest","Low","Medium","Highest","Highest","Lowest","YES","NO","NO","Highest","Highest","Highest","Highest"
"912","Public","Highest","Highest","Low","Highest","Highest","Lowest","FALSE","High","High","Highest","Medium","Medium","Highest","High","Lowest","YES","NO","NO","Highest","Highest","Highest","Highest"
"913","Public","Medium","Highest","Low","Highest","Highest","Lowest","FALSE","Low","Lowest","Lowest","Medium","High","Highest","Highest","Low","YES","NO","YES","Highest","Highest","Highest","Highest"
"915","Public","Highest","Highest","Low","Highest","Highest","Lowest","FALSE","Medium","High","Medium","Medium","Medium","High","Highest","High","YES","NO","NO","Highest","Highest","Highest","Highest"
"917","Public","Medium","High","Lowest","Highest","Highest","Low","FALSE","High","Highest","Highest","Medium","Medium","High","Medium","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"922","Public","Medium","Medium","Lowest","Highest","Highest","Medium","FALSE","Highest","High","High","Medium","Medium","Low","Low","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"924","Public","Lowest","Low","Lowest","Low","Low","Low","FALSE","High","High","Highest","Low","Medium","Low","Lowest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"925","Public","High","Highest","Lowest","Highest","Highest","High","FALSE","Low","Medium","Medium","Lowest","Low","Low","High","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"926","Public","Medium","Low","Low","Lowest","Lowest","Lowest","FALSE","Highest","High","Highest","Highest","Highest","High","Lowest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"930","Public","Medium","High","Low","Medium","Medium","Low","FALSE","High","Highest","High","Highest","Highest","High","Low","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"932","Public","Low","Highest","Low","Medium","Medium","High","FALSE","High","High","Highest","Medium","Medium","Lowest","High","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"933","Public","Highest","Highest","Lowest","Highest","Highest","Lowest","FALSE","High","Medium","High","Low","Low","Low","High","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"934","Public","Highest","Low","Lowest","Lowest","Lowest","High","TRUE","High","Lowest","Medium","Highest","Medium","Highest","Lowest","Highest","YES","YES","YES","Highest","Highest","Highest","Highest"
"935","Public","High","Lowest","Lowest","Highest","Highest","Lowest","FALSE","Highest","Highest","Medium","Medium","Medium","High","Low","Highest","YES","NO","YES","Highest","Highest","Highest","Highest"
"938","Public","Lowest","Highest","Low","High","High","Medium","FALSE","Lowest","Lowest","Lowest","Lowest","Low","Medium","Highest","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"939","Public","Highest","High","Low","High","High","Low","FALSE","Highest","Highest","Highest","Low","Low","Low","Low","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"943","Public","Low","Medium","Low","Highest","Highest","Highest","FALSE","Low","Medium","Low","Lowest","Lowest","Lowest","Medium","High","YES","NO","NO","Highest","Highest","Highest","Highest"
"945","Public","High","Low","Low","Lowest","Lowest","Highest","TRUE","Low","Low","Low","Highest","High","High","Low","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"946","Public","Highest","Low","Lowest","Lowest","Lowest","Lowest","FALSE","Highest","Highest","Highest","Highest","High","Medium","Lowest","Highest","YES","NO","YES","Highest","Highest","Highest","Highest"
"950","Public","Lowest","Highest","Lowest","Highest","Highest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Medium","Lowest","YES","NO","NO","Highest","Highest","Highest","Highest"
"951","Public","Low","Highest","Low","Highest","Highest","Highest","TRUE","Lowest","High","Lowest","Low","Low","Lowest","High","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"953","Public","Highest","Highest","Lowest","Highest","Highest","Low","FALSE","Highest","Highest","Highest","High","Highest","Highest","High","Highest","YES","NO","YES","Highest","Highest","Highest","Highest"
"954","Public","Highest","Highest","Low","Highest","Highest","Lowest","FALSE","Medium","Medium","Medium","Low","Low","Medium","Highest","High","YES","NO","YES","Highest","Highest","Highest","Highest"
"955","Public","High","Medium","Low","Low","Lowest","Low","FALSE","Lowest","Lowest","Low","Low","Low","Low","Medium","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"957","Public","Highest","Highest","Low","High","High","Low","FALSE","High","Highest","Medium","Medium","Low","Medium","Highest","High","YES","YES","NO","Highest","Highest","Highest","Highest"
"958","Public","Lowest","Medium","Low","Highest","Highest","High","FALSE","Highest","Highest","Medium","Medium","Highest","Low","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"959","Public","Lowest","High","Lowest","Highest","Highest","High","FALSE","High","High","Lowest","Highest","Medium","Medium","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"960","Public","Low","High","Low","Medium","Medium","Lowest","FALSE","Highest","High","High","High","Highest","Medium","Lowest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"964","Public","Medium","Highest","Low","Medium","Medium","Medium","FALSE","Lowest","Low","Lowest","Low","Medium","Low","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"966","Public","Lowest","Highest","Low","Highest","Highest","High","FALSE","Medium","High","Medium","Lowest","Low","Lowest","High","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"967","Public","High","Highest","Low","High","High","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Low","Lowest","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"971","Public","Low","High","Lowest","Medium","Medium","Highest","FALSE","Low","Lowest","Lowest","Low","Medium","Medium","Highest","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"972","Public","Highest","Low","Lowest","Lowest","Lowest","Low","FALSE","Low","Medium","High","Highest","High","High","Low","Highest","YES","NO","YES","Highest","Highest","Highest","Highest"
"973","Public","Lowest","Medium","Low","Highest","Highest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","High","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"974","Public","High","High","Lowest","Highest","Highest","Lowest","FALSE","Medium","Low","Medium","Medium","High","Lowest","Medium","High","YES","NO","YES","Highest","Highest","Highest","Highest"
"976","Public","Medium","Highest","Low","Low","Low","High","FALSE","Medium","Medium","Medium","High","High","Medium","Highest","Lowest","YES","YES","NO","Highest","Highest","Highest","Highest"
"977","Public","Low","Medium","Low","Low","Low","Medium","FALSE","Highest","Highest","High","Highest","Highest","High","High","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"982","Public","High","Highest","Low","Highest","Highest","High","FALSE","Low","Low","Lowest","Lowest","Lowest","Low","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"983","Public","Medium","Highest","Low","High","High","Lowest","FALSE","Highest","Highest","Highest","Highest","Highest","High","High","High","YES","NO","NO","Highest","Highest","Highest","Highest"
"985","Public","Low","Highest","Low","Medium","Medium","High","FALSE","Low","Low","Lowest","Medium","Low","Highest","High","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"988","Public","Low","High","Low","Low","Lowest","Low","FALSE","Medium","High","Medium","Low","Highest","Low","Medium","High","YES","NO","NO","Highest","Highest","Highest","Highest"
"991","Public","Low","High","Low","Low","Lowest","Medium","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Highest","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"994","Public","Highest","High","Low","Low","Low","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"998","Public","Medium","Highest","Low","Highest","Highest","Low","FALSE","High","Highest","Highest","Lowest","Low","Medium","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"999","Public","Highest","High","Lowest","Low","Medium","Lowest","FALSE","Lowest","Lowest","High","High","High","High","Medium","High","YES","NO","YES","Highest","Highest","Highest","Highest"
"1002","Public","Highest","Highest","Low","Lowest","Lowest","Medium","FALSE","Medium","High","High","High","High","High","Medium","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"1004","Public","Highest","Highest","Low","High","High","Lowest","FALSE","High","High","Highest","Highest","Highest","Highest","High","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"1005","Public","Low","Highest","Low","Highest","Highest","High","FALSE","Medium","High","Medium","High","High","High","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"1006","Public","Low","High","Low","Low","Lowest","Highest","TRUE","Lowest","Low","Lowest","Medium","Low","High","Low","High","YES","NO","NO","Highest","Highest","Highest","Highest"
"1014","Public","Low","Highest","Low","High","High","Low","FALSE","High","Medium","High","Medium","Low","Highest","High","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"1016","Public","Lowest","Medium","Low","Highest","Highest","Low","FALSE","Highest","High","High","Medium","Low","Medium","High","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"1017","Public","Medium","Lowest","Low","Low","Lowest","Low","FALSE","High","High","High","Highest","Highest","High","Lowest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"1019","Public","Medium","Highest","Low","High","High","High","FALSE","Lowest","Low","Lowest","Lowest","Lowest","Lowest","Highest","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"1021","Public","Low","Medium","Low","High","High","Low","FALSE","High","High","High","Low","Lowest","Low","Medium","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"1023","Public","High","Highest","Low","Highest","Highest","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","High","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"1024","Public","High","Highest","Lowest","Highest","Highest","Low","FALSE","Low","Low","Lowest","Low","Low","Medium","Highest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"1027","Public","Highest","Highest","Low","Lowest","Lowest","Medium","FALSE","Highest","Highest","Medium","High","High","Highest","High","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"1030","Public","High","Low","Lowest","Medium","Medium","Low","FALSE","High","Low","High","High","High","High","Lowest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"1033","Public","Medium","Highest","Low","Highest","Highest","Medium","FALSE","High","High","Low","Medium","High","High","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"1034","Public","High","Highest","Low","Highest","Highest","Lowest","FALSE","Low","Lowest","Low","High","Medium","Low","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"1038","Public","Highest","High","Low","Low","Low","Low","FALSE","Highest","High","High","Highest","Highest","Highest","Lowest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"1040","Public","Low","Highest","Low","Low","Lowest","High","FALSE","Low","Low","Low","Lowest","Lowest","Lowest","Highest","Lowest","YES","YES","NO","Highest","Highest","Highest","Highest"
"1043","Public","Low","Lowest","Low","High","High","Low","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Lowest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"1044","Public","Highest","Highest","Low","High","High","High","FALSE","Lowest","Medium","Lowest","Medium","Low","Low","Highest","Low","YES","NO","YES","Highest","Highest","Highest","Highest"
"1047","Public","High","Highest","Low","Lowest","Lowest","Medium","FALSE","Low","Medium","Low","Medium","High","Low","High","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"1050","Public","Medium","High","Low","Low","Low","Highest","FALSE","Medium","Medium","Lowest","Medium","Medium","Low","High","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"1051","Public","Medium","Highest","Low","Highest","Highest","Lowest","FALSE","Medium","Low","High","High","High","Highest","High","Medium","YES","YES","NO","Highest","Highest","Highest","Highest"
"1052","Public","Medium","Highest","Low","High","High","Medium","FALSE","Low","Low","Low","Highest","Highest","Highest","Highest","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"1055","Public","High","High","Low","Medium","Medium","Highest","FALSE","Lowest","Medium","Medium","Low","Low","Medium","High","High","YES","NO","YES","Highest","Highest","Highest","Highest"
"1056","Public","Medium","High","Lowest","Medium","Medium","Lowest","FALSE","Low","Low","Low","Highest","Medium","High","High","High","YES","NO","YES","Highest","Highest","Highest","Highest"
"1057","Public","Highest","Low","Low","Low","Medium","Low","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Lowest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"1063","Public","Lowest","Highest","Low","Highest","Highest","Lowest","FALSE","High","Low","High","Highest","Highest","Highest","Low","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"1066","Public","Highest","Medium","Low","Low","Lowest","Low","TRUE","Medium","Low","High","Highest","High","Highest","Medium","High","YES","YES","YES","Highest","Highest","Highest","Highest"
"1067","Public","High","Lowest","Low","Low","Lowest","Lowest","FALSE","High","Medium","High","High","High","High","Lowest","Highest","YES","NO","YES","Highest","Highest","Highest","Highest"
"1068","Public","High","Highest","Lowest","Highest","Highest","High","FALSE","Lowest","Lowest","Lowest","Lowest","Low","Low","Highest","Medium","YES","NO","YES","Highest","Highest","Highest","Highest"
"1070","Public","Medium","Highest","Low","Medium","Medium","High","FALSE","Medium","Medium","Medium","Medium","High","Highest","High","Medium","YES","NO","NO","Highest","Highest","Highest","Highest"
"1072","Public","High","Highest","Low","Highest","Highest","Lowest","FALSE","Low","Low","Medium","Low","Low","High","Highest","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"1074","Public","Lowest","Highest","Lowest","Highest","Highest","Low","FALSE","High","Highest","Highest","High","High","High","Highest","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"1075","Public","Medium","High","Low","Highest","Highest","Low","FALSE","Lowest","Lowest","Lowest","Medium","Low","Low","High","Medium","YES","NO","YES","Highest","Highest","Highest","Highest"
"1076","Public","Lowest","Highest","Low","Highest","Highest","Medium","FALSE","Lowest","Medium","Low","Lowest","Lowest","Low","Highest","High","YES","NO","NO","Highest","Highest","Highest","Highest"
"1079","Public","High","High","Low","Medium","Medium","High","FALSE","Low","Low","Lowest","Lowest","Low","Lowest","Highest","Low","YES","NO","NO","Highest","Highest","Highest","Highest"
"1080","Public","Low","High","Low","Highest","Highest","Low","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Low","Highest","YES","NO","NO","Highest","Highest","Highest","Highest"
"1082","Public","High","Highest","Low","Highest","Highest","Lowest","FALSE","High","Low","Medium","Medium","High","High","Highest","High","YES","NO","YES","Highest","Highest","Highest","Highest"
"1084","Public","Lowest","Medium","Low","Lowest","Lowest","Medium","FALSE","Highest","Highest","Highest","High","High","Medium","Lowest","Low","YES","NO","NO","Low","High","High","High"
"1085","Public","Highest","Lowest","Low","Lowest","Lowest","High","TRUE","Lowest","Lowest","High","Highest","Highest","High","Lowest","Medium","YES","NO","YES","Low","High","High","High"
"1086","Public","Highest","Lowest","Low","Lowest","Lowest","Highest","TRUE","Low","Low","Medium","High","High","High","Low","Medium","YES","NO","NO","Low","High","High","High"
"1087","Public","Medium","Low","Low","Lowest","Lowest","High","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Lowest","High","Lowest","YES","NO","NO","Low","High","High","High"
"1088","Public","Medium","Lowest","Low","Lowest","Lowest","Highest","FALSE","Low","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Low","High","High","High"
"1089","Public","High","Lowest","Low","Lowest","Lowest","Highest","TRUE","Highest","Low","Medium","Medium","High","High","Medium","Lowest","YES","NO","NO","Low","High","High","High"
"1091","Public","Highest","Lowest","Low","Lowest","Lowest","Low","FALSE","Highest","Highest","Highest","Medium","Low","High","Low","High","YES","NO","NO","Low","High","High","High"
"1093","Public","Lowest","Low","Low","Lowest","Lowest","Highest","FALSE","Low","Low","Medium","Low","Medium","Lowest","Lowest","Medium","YES","NO","NO","Low","High","High","High"
"1094","Public","Highest","Medium","Low","Lowest","Lowest","Lowest","FALSE","High","Highest","Highest","Highest","Highest","Medium","Low","High","YES","NO","YES","Low","High","High","High"
"1095","Public","Low","Lowest","Low","Lowest","Lowest","Highest","FALSE","High","High","Highest","High","High","Highest","Highest","Lowest","YES","NO","NO","Low","High","High","High"
"1097","Public","High","Low","Low","Lowest","Lowest","Low","FALSE","Medium","High","Highest","Highest","High","High","Low","High","YES","NO","NO","Low","High","High","High"
"1099","Public","Medium","Medium","Low","Lowest","Lowest","Highest","FALSE","Low","High","Low","High","High","Low","Lowest","Medium","YES","NO","NO","Low","High","High","High"
"1100","Public","Medium","Lowest","Low","Lowest","Lowest","Medium","FALSE","Lowest","Lowest","High","High","Medium","Low","Medium","Low","YES","NO","YES","Low","High","High","High"
"1101","Public","Low","Low","Low","Lowest","Lowest","Highest","FALSE","Low","High","High","Low","Low","Low","Lowest","High","YES","NO","NO","Low","High","High","High"
"1102","Public","Lowest","Medium","Low","Medium","Medium","Medium","FALSE","Medium","High","High","Medium","Medium","Medium","Low","Low","YES","NO","NO","Low","High","High","High"
"1103","Public","Highest","Medium","Low","Lowest","Lowest","Highest","TRUE","Highest","High","Highest","Highest","Highest","Highest","Lowest","High","YES","NO","NO","Low","High","High","High"
"1106","Public","High","Medium","Low","Lowest","Lowest","High","FALSE","Medium","Medium","High","High","High","High","Lowest","Medium","YES","NO","NO","Low","High","High","High"
