"","BoardID","SchoolID","Board.Type","School.Type","School.Special.Condition.Code","School.Language","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Percentage.of.Students.Identified.as.Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Junior.Kindergarten.Enrolment","Kindergarten.Enrolment","Grade.1.Enrolment","Grade.2.Enrolment","Grade.3.Enrolment","Grade.4.Enrolment","Grade.5.Enrolment","Grade.6.Enrolment","Grade.7.Enrolment","Grade.8.Enrolment","Board.Language","Elementary.Male.Educators","Elementary.Female.Educators"
"672","B66052","111775","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",350,"63.7","99.1","9.1","9.1","8.5","SP","95%","85%","85%","N/D","N/D","N/D","24.2","78.5","YES","YES","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"673","B66052","210714","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",888,"73.6","99.8","17.7","17.7","13.8","SP","73%","75%","55%","71%","78%","43%","41.2","48","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"674","B66052","211060","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",449,"51.9","99.8","20.9","20.9","11.8",NA,"55%","51%","53%","75%","68%","32%","23.5","55.9","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"675","B66052","506036","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",230,"6.5","100","SP","SP","9.5","SP","96%","86%","82%","N/D","N/D","N/D","19","59.9","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"676","B66052","113174","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",381,"16.5","100","3.1","3.1","38.8","23.8","73%","63%","61%","79%","76%","63%","14.9","67.3","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"677","B66052","294780","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",553,"28.8","99.6","4","4","28.3","16.2","67%","61%","56%","65%","65%","12%","19.1","59.5","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"678","B66052","211451","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",205,"29.3","99.5","5.4","5.4","29.2",NA,"41%","45%","36%","68%","74%","32%","22.7","22.4","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"679","B66052","415812","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",199,"63.8","98","17.6","17.6","9.5",NA,"79%","75%","54%","89%","84%","37%","34.4","41.3","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"680","B66052","211842","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",176,"64.2","100","10.2","10.2","7.9",NA,"83%","76%","76%","N/D","N/D","N/D","34.5","36.3","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"681","B66052","211974","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",397,"45.6","99.7","8.6","8.6","17.8",NA,"85%","88%","72%","70%","68%","28%","33.4","30.2","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"683","B66052","509280","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",182,"32.4","100","SP","SP","26.9",NA,"50%","35%","15%","N/D","N/D","N/D","31","30.9","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"684","B66052","607177","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",505,"33.3","99.4","SP","SP","8.7",NA,"90%","88%","82%","93%","88%","48%","19.4","66.5","YES","YES","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"685","B66052","212750","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",136,"33.8","100","SP","SP","14.7",NA,"92%","92%","69%","86%","77%","41%","19.3","56.8","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"686","B66052","212881","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",242,"36.4","100","10.7","10.7","20.2",NA,"74%","74%","52%","72%","83%","62%","27","46.4","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"687","B66052","452343","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",227,"26.4","98.2","SP","SP","9.2",NA,"81%","81%","73%","N/D","N/D","N/D","13.9","71.6","YES","YES","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"688","B66052","213144","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",153,"35.3","100","SP","SP","14.3","SP","86%","79%","64%","N/D","N/D","N/D","21.6","55.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"689","B66052","213403","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",394,"40.6","99.7","6.9","7.1","13.4","SP","66%","74%","48%","N/D","N/D","N/D","38.3","27.6","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"690","B66052","213535","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",693,"60.3","99.7","18.2","18.2","23.6","SP","68%","62%","27%","67%","72%","29%","45.9","50","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"692","B66052","419710","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",461,"51.2","99.8","36.4","38.2","4.5","SP","79%","76%","76%","85%","85%","81%","42.2","47","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"693","B66052","511137","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",264,"53.4","99.2","SP","SP","17","SP","67%","67%","47%","N/D","N/D","N/D","57.5","14.7","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"694","B66052","485756","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",236,"33.1","98.7","11.4","11","12.7",NA,"100%","88%","56%","N/D","N/D","N/D","20","45.2","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"695","B66052","421537","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",275,"20.4","98.5","11.6","11.6","3.6","SP","93%","93%","84%","N/D","N/D","N/D","8.7","88.8","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"697","B66052","422237","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",589,"67.2","100","2.7","2.7","6.7","SP","87%","87%","71%","96%","97%","84%","14.8","25.9","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"698","B66052","609900","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",300,"40.7","100","8","7.7","13.3","SP","60%","64%","60%","69%","66%","28%","27.6","49.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"699","B66052","216402","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",549,"75.2","100","9.5","9.5","18.7",NA,"77%","75%","62%","79%","72%","52%","43.9","43.4","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"701","B66052","216780","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",524,"11.8","100","SP","SP","13.3",NA,"48%","44%","40%","84%","77%","44%","17.7","60.4","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"702","B66052","425826","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",336,"31.5","99.7","6.5","7.1","17.5",NA,"72%","59%","34%","83%","67%","61%","33.9","24.8","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"703","B66052","186880","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",195,"42.6","99","17.9","17.9","10.7",NA,"80%","87%","63%","N/D","N/D","N/D","26.9","53","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"704","B66052","612634","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",827,"46.6","100","14.8","14.8","23.4","7.7","70%","68%","58%","82%","79%","48%","17.4","73.7","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"705","B66052","427772","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",315,"3.5","100","4.4","4.4","5","SP","89%","92%","84%","100%","100%","97%","16.5","65.1","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"707","B66052","123056","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",127,"41.7","100","SP","SP","23.6",NA,"56%","60%","28%","85%","85%","54%","40.4","17.1","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"709","B66052","123315","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",745,"79.3","100","6.3","6.4","7.9",NA,"84%","87%","73%","86%","88%","57%","39.9","21","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"710","B66052","515272","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",419,"69.7","99.8","3.1","3.1","15.2","SP",NA,NA,NA,NA,NA,NA,"26.6","44.6","YES","YES","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"711","B66052","305316","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",342,"53.8","100","19.9","20.5","8.1",NA,"78%","67%","61%","N/D","N/D","N/D","38.1","38","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"712","B66052","515337","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",331,"65","99.1","6","6","17.8","SP",NA,NA,NA,NA,NA,NA,"28","44.9","YES","YES","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"713","B66052","305570","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",626,"7.5","99.7","2.2","3.4","9.2","2.5","95%","94%","88%","85%","80%","57%","4.5","90.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"716","B66052","342190","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",337,"31.2","98.2","7.4","7.4","13.9",NA,"71%","68%","47%","76%","88%","45%","38.5","50.1","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"717","B66052","489000","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",434,"30","99.5","5.8","6","13.1","SP","68%","53%","51%","79%","82%","59%","23.3","49.9","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"718","B66052","282049","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",448,"19.2","99.6","6.7","6.7","14","SP","83%","83%","53%","83%","83%","43%","20.6","52.5","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"719","B66052","134627","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",235,"40.4","99.6","22.6","22.6","14.4",NA,"65%","65%","53%","N/D","N/D","N/D","33.3","45.8","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"720","B66052","125008","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",580,"45.5","98.8","9.7","9.7","13.2",NA,"60%","53%","51%","69%","56%","31%","37.9","38","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"721","B66052","125130","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",650,"28.2","99.8","2.3","2.3","18","2.1","N/D","N/D","N/D","87%","87%","62%","17.4","69.1","YES","YES","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"722","B66052","432849","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",392,"27.6","99.7","SP","SP","12.7","SP","90%","94%","90%","100%","100%","66%","14.2","74.2","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"723","B66052","125393","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",157,"SP","100","6.4","7","10.1","SP","100%","92%","88%","N/R","N/R","N/R","12.2","85.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"725","B66052","125520","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",327,"8","99.7","SP","SP","12.8","SP","95%","95%","92%","100%","91%","66%","6.8","97.2","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"727","B66052","433624","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",343,"49","99.7","4.7","4.7","31.4",NA,"42%","55%","32%","57%","57%","17%","53","36.5","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"728","B66052","126195","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",199,"SP","99.5",NA,NA,"14.5",NA,"80%","75%","55%","48%","48%","19%","14.7","66.7","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"729","B66052","433756","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",503,"28.6","99.8","9.5","9.5","15.5","SP","89%","87%","84%","90%","89%","68%","21.5","74.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"730","B66052","255947","Pub Dist Sch Brd (E/F)","Public","Junior High School","English",405,"75.3","100","8.4","8.6","14.3","SP","N/D","N/D","N/D","94%","91%","75%","24.1","78.5","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"731","B66052","127680","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",608,"91","100","33.4","33.6","8.5",NA,"86%","87%","77%","N/D","N/D","N/D","42.9","74.3","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"732","B66052","127736","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",250,"64.4","99.6","16.4","16.4","13.6","SP","71%","75%","57%","N/D","N/D","N/D","37.1","70","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"733","B66052","434400","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",269,"45","100","18.6","18.6","15.6",NA,"70%","70%","52%","N/D","N/D","N/D","42.4","39.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"735","B66052","127884","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",326,"68.1","99.7","35","34.7","8.5",NA,"88%","85%","82%","N/D","N/D","N/D","29.5","76.7","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"736","B66052","128058","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",416,"38.2","100","9.6","9.6","24","SP","N/D","N/D","N/D","74%","75%","42%","35.5","26.9","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"737","B66052","435180","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",155,"23.9","100","SP","SP","21.2",NA,"52%","61%","35%","N/D","N/D","N/D","24.7","60.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"738","B66052","520110","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",60,"SP","100",NA,NA,"21.6","SP",NA,NA,NA,NA,NA,NA,"SP","84.3","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"741","B66052","225622","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",658,"78.6","100","14.9","15","9.8",NA,"77%","86%","62%","N/D","N/D","N/D","33.5","35.7","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"742","B66052","130850","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",510,"46.7","99","3.5","3.5","9.2","SP","N/D","N/D","79%","91%","89%","65%","27.4","82.1","NO","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"743","B66052","552704","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",1482,"94.8","99.9","28.9","28.9","13","SP","59%","56%","41%","N/D","N/D","N/D","62.7","54.4","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"744","B66052","591050","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",438,"42.2","99.5","7.1","7.1","10.7","SP","92%","93%","92%","N/D","N/D","N/D","12.5","71","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"745","B66052","465739","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",803,"54.4","99.8","10.8","11","36.8","20.4","66%","64%","50%","75%","74%","45%","34.2","38.7","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"746","B66052","437522","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",272,"60.3","100","6.6","6.6","20.5",NA,"82%","87%","66%","83%","77%","39%","22.9","39.1","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"747","B66052","466255","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",279,"48.7","100","10.8","10.8","29.7",NA,"N/D","N/D","N/D","58%","64%","15%","40.1","23.9","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"749","B66052","437581","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",310,"56.5","100","14.2","14.8","11.9","SP","58%","61%","39%","79%","62%","24%","38.3","42.6","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"750","B66052","438014","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",314,"82.8","100","9.9","9.9","8.2","SP","82%","85%","80%","87%","83%","70%","23.3","29.4","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"752","B66052","261246","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",550,"25.3","99.8","11.1","11.3","17.2","2.3","N/D","N/D","N/D","87%","84%","61%","15.2","85.1","YES","YES","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"753","B66052","133060","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",502,"61","99.6","15.7","15.9","6.3",NA,"80%","75%","62%","N/D","N/D","N/D","28.9","67.4","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"754","B66052","133582","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",509,"53.2","100","9.2","9.2","12.7",NA,"75%","71%","63%","83%","83%","59%","23.8","46.7","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"755","B66052","439479","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",269,"20.1","100","8.9","8.9","21.5",NA,"35%","23%","14%","N/D","N/D","N/D","38.8","26","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"756","B66052","625132","Pub Dist Sch Brd (E/F)","Public","Junior High School","English",469,"57.4","100","7.9","7.9","52","41.7","N/D","N/D","N/D","93%","93%","90%","27.1","71.2","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"758","B66052","467685","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",750,"9.5","99.5","1.5","1.6","9.3","SP","82%","82%","64%","N/D","N/D","N/D","10.2","76.3","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"759","B66052","142816","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",236,"47.5","99.2","7.6","7.6","24.5","SP","61%","72%","56%","68%","68%","32%","31.3","40.9","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"760","B66052","134848","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",487,"74.9","99.6","9.7","9.7","10.2","SP","90%","92%","79%","90%","92%","72%","27.1","43.3","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"761","B66052","229652","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",157,"42","98.7","15.3","15.3","9.5",NA,"68%","89%","53%","N/D","N/D","N/D","21.7","60.9","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"762","B66052","528269","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",325,"66.8","99.7","6.2","6.2","18.7",NA,"74%","85%","63%","79%","79%","32%","57","47.8","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"763","B66052","135011","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",581,"37.3","99","25.3","26","10.1","SP","91%","91%","73%","100%","100%","86%","20.6","79.3","YES","NO","YES","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"764","B66052","167517","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",574,"52.3","98.8","28.2","28.7","7.8",NA,"79%","72%","70%","N/D","N/D","N/D","26.4","81.4","YES","YES","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"765","B66052","230820","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",915,"86.7","99.7","29.9","29.8","10",NA,"48%","51%","37%","71%","70%","32%","61.3","40.1","YES","YES","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"766","B66052","529176","Pub Dist Sch Brd (E/F)","Public","Junior High School","English",338,"35.5","99.7","9.5","9.5","41.7","26.9",NA,NA,NA,NA,NA,NA,"16.6","80.4","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"767","B66052","135534","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",461,"54.2","99.6","12.8","12.8","9.7",NA,"77%","88%","80%","N/D","N/D","N/D","37.8","17.1","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"769","B66052","233161","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",593,"48.2","99.8","8.3","8.1","23.7",NA,"80%","80%","69%","67%","71%","38%","22.4","27.7","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"770","B66052","529958","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",202,"6.4","100","SP","SP","10.3","SP","97%","94%","72%","N/D","N/D","N/D","6.2","87.2","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"771","B66052","320919","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",473,"68.1","99.6","13.1","13.7","16.2",NA,"74%","83%","56%","79%","85%","60%","60.1","32.7","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"772","B66052","288543","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",138,"29.7","100","SP","SP","20.2",NA,"25%","44%","6%","N/R","N/R","N/R","30.2","22","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"773","B66052","331830","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",124,"44.4","99.2","12.9","12.9","17.7",NA,"50%","50%","21%","63%","79%","37%","24.4","30","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
"774","B66052","531022","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",297,"41.1","99.3","14.8","14.8","30.3",NA,"66%","66%","40%","57%","57%","25%","29.1","37.3","YES","NO","NO","17,174","18,232","17,745","17,775","17,618","17,691","17,642","16,784","16,018","16,288","English","2,743.95","9,707.22"
