Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Extract Date
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),825892,St. Gabriel Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,1361 Barton Street East,Hamilton,Stoney Creek,Ontario,L8E5L1,,,https://stga.hwcdsb.ca/,http://www.hwcdsb.ca/, 549 ,43.21128,-79.64313,4.7,100,SP,SP,7.6,SP,84%,-6,88%,-5,68%,-11,85%,-5,90%,-2,49%,-7,NA,NA,NA,NA,NA,NA,6.5,64.7,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),799530,St. James the Apostle Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,29 John Murray St,Hamilton,Stoney Creek,Ontario,L8J1C5,905-560-2700,905-560-6364,http://stja.hwcdsb.ca,http://www.hwcdsb.ca/, 244 ,43.19166,-79.78386,9,100,NA,NA,12.2,NA,94%,-6,89%,-11,83%,-3,96%,13,88%,-6,27%,-12,NA,NA,NA,NA,NA,NA,16.6,34.8,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),800430,St. Jean de Brebeuf Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,200 Acadia Dr,Hamilton,Hamilton,Ontario,L8W1B8,905-388-7020,905-388-7977,http://sjb.hwcdsb.ca,http://www.hwcdsb.ca/, 1483 ,43.20163,-79.86404,26.2,99.3,5.9,5.9,16.9,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70%,-8,39%,3,76%,-1,17.4,27.9,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),770965,St. Joachim Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,75 Concerto Crt,Hamilton,Ancaster,Ontario,L9G4V6,905-523-2341,905-648-3994,http://stjo.hwcdsb.ca,http://www.hwcdsb.ca/, 403 ,43.2087,-79.9889,4.2,100,SP,SP,13.1,SP,80%,-8,78%,6,73%,7,85%,0,78%,-10,59%,3,NA,NA,NA,NA,NA,NA,7.3,58.5,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),751553,St. John Paul II Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,600 Acadia Dr,Hamilton,Hamilton,Ontario,L8W3A5,905-525-1300,905-318-3080,http://bljp.hwcdsb.ca,http://www.hwcdsb.ca/, 353 ,43.2027,-79.8685,13,99.7,SP,SP,9.3,SP,77%,8,81%,9,68%,-4,84%,10,68%,-14,38%,9,NA,NA,NA,NA,NA,NA,20.6,35.4,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),804673,St. John the Baptist Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,115 London St S,Hamilton,Hamilton,Ontario,L8K2G6,905-549-8203,905-549-2002,http://stjh.hwcdsb.ca,http://www.hwcdsb.ca/, 313 ,43.23873,-79.81977,4.8,100,3.2,3.2,13.7,SP,94%,10,94%,10,87%,9,93%,8,83%,-8,57%,9,NA,NA,NA,NA,NA,NA,16,27.1,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),814032,St. Joseph Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,270 Locke St S,Hamilton,Hamilton,Ontario,L8P4C1,905-529-1002,905-522-0787,http://stjs.hwcdsb.ca/,http://www.hwcdsb.ca/, 382 ,43.25231,-79.88732,18.8,98.4,5.8,5.8,9.9,NA,70%,-6,48%,-20,59%,-7,74%,-5,81%,14,26%,-22,NA,NA,NA,NA,NA,NA,24.1,52.8,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),866725,St. Kateri Tekakwitha Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,22 Queensbury Dr,Hamilton,Hamilton,Ontario,L8W1Z6,905-385-8212,905-385-1248,http://bkat.hwcdsb.ca,http://www.hwcdsb.ca/, 259 ,43.20157,-79.84088,21.2,100,5.8,5.8,15.8,NA,84%,-13,88%,-2,80%,-7,84%,-7,88%,-12,69%,14,NA,NA,NA,NA,NA,NA,27.1,23.7,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),817678,St. Lawrence Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,88 Macaulay Street East,Hamilton,Hamilton,Ontario,L8L3X3,905-529-6625,905-529-6038,http://stla.hwcdsb.ca,http://www.hwcdsb.ca/, 323 ,43.26953,-79.85937,22.9,99.4,6.5,6.5,10.5,NA,84%,23,97%,25,66%,12,76%,-8,84%,2,52%,7,NA,NA,NA,NA,NA,NA,37.3,10.1,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),820652,St. Luke Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,345 Albright Rd,Hamilton,Hamilton,Ontario,L8K6N3,905-561-3966,905-561-4141,http://stlu.hwcdsb.ca,http://www.hwcdsb.ca/, 341 ,43.21844,-79.79539,18.2,100,4.4,4.4,13.1,NA,91%,10,91%,-6,56%,-22,76%,-9,64%,-17,44%,11,NA,NA,NA,NA,NA,NA,26.1,26.2,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),821705,St. Margaret Mary Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,25 Brentwood Dr,Hamilton,Hamilton,Ontario,L8T3V9,905-383-8122,905-383-0023,http://stmm.hwcdsb.ca/,http://www.hwcdsb.ca/, 384 ,43.2236,-79.82869,12,100,4.2,4.4,10.4,NA,76%,-6,76%,-16,76%,-3,89%,11,89%,8,64%,15,NA,NA,NA,NA,NA,NA,20,25.9,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),821268,St. Marguerite d'Youville Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,20 Bonaparte Way,Hamilton,Hamilton,Ontario,L9B2E3,905-387-4600,905-387-0422,http://stmy.hwcdsb.ca,http://www.hwcdsb.ca/, 457 ,43.2042,-79.8786,13.8,100,SP,SP,6.1,NA,71%,-6,89%,12,77%,23,81%,3,87%,-7,57%,16,NA,NA,NA,NA,NA,NA,28,33.4,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),696196,St. Mark Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,43 Whitedeer Rd,Hamilton,Stoney Creek,Ontario,L8J3T1,905-560-0032,905-560-0045,http://stmk.hwcdsb.ca/,http://www.hwcdsb.ca/, 552 ,43.1782,-79.7861,13.9,99.6,SP,SP,8.3,NA,88%,0,96%,1,80%,-10,91%,13,96%,6,61%,19,NA,NA,NA,NA,NA,NA,14.1,35.9,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),824313,St. Martin of Tours Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,60 Grays Rd,Hamilton,Stoney Creek,Ontario,L8G2X5,905-523-2334,905-664-2630,http://stmr.hwcdsb.ca/,http://www.hwcdsb.ca/, 307 ,43.21608,-79.7464,6.5,100,SP,SP,13,SP,94%,-3,94%,-3,86%,5,93%,19,98%,10,68%,9,NA,NA,NA,NA,NA,NA,15.9,30.3,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),827401,St. Mary Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,200 Whitney Ave,Hamilton,Hamilton,Ontario,L8S2G7,905-528-0214,905-528-7418,http://stma.hwcdsb.ca/,http://www.hwcdsb.ca/, 1000 ,43.2536,-79.9276,10.1,99.5,1.6,1.5,22,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92%,3,57%,6,91%,2,11.7,49.1,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),745279,St. Matthew Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,200 Windwood Dr,Hamilton,Binbrook,Ontario,L0R1C0,905-523-2316,905-662-8052,http://stmt.hwcdsb.ca/,http://www.hwcdsb.ca/, 1023 ,43.11723,-79.81405,4.2,99.9,SP,SP,7.9,NA,83%,2,80%,-16,79%,6,85%,-1,85%,2,54%,15,NA,NA,NA,NA,NA,NA,6.3,39.7,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),834220,St. Michael Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,135 Hester St,Hamilton,Hamilton,Ontario,L9A2N9,905-383-2986,905-383-2531,http://stmi.hwcdsb.ca/,http://www.hwcdsb.ca/, 506 ,43.22433,-79.87484,32.2,100,10.9,10.9,13.8,SP,70%,15,63%,-5,56%,16,70%,-4,81%,-6,58%,0,NA,NA,NA,NA,NA,NA,26.9,28.4,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),839779,St. Patrick Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,20 East Ave S,Hamilton,Hamilton,Ontario,L8N3X1,905-529-1069,905-529-2201,http://stpt.hwcdsb.ca,http://www.hwcdsb.ca/, 209 ,43.25251,-79.85593,26.8,99,18.2,18.2,14.8,NA,54%,-12,58%,-18,38%,-17,67%,3,67%,11,17%,1,NA,NA,NA,NA,NA,NA,50.5,22.6,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),842389,St. Paul Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,24 Amberwood St,Hamilton,Stoney Creek,Ontario,L8J2H9,905-578-2117,905-578-4357,http://stpa.hwcdsb.ca,http://www.hwcdsb.ca/, 392 ,43.1996,-79.79664,8.7,100,SP,SP,8.9,NA,96%,-4,98%,-2,94%,-3,92%,-1,100%,4,64%,12,NA,NA,NA,NA,NA,NA,18.9,42.6,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),851264,St. Teresa of Avila Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,171 San Remo Dr,Hamilton,Hamilton,Ontario,L9C6P8,905-385-7555,905-385-0956,http://stta.hwcdsb.ca/,http://www.hwcdsb.ca/, 237 ,43.23784,-79.92614,11.4,100,8.4,8.4,10.5,NA,79%,4,93%,7,79%,11,81%,-10,88%,-3,77%,20,NA,NA,NA,NA,NA,NA,14,54.2,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),733105,St. Teresa of Calcutta Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,1 Rexford Dr,Hamilton,Hamilton,Ontario,L8W3E8,905-318-7933,905-318-7208,http://btoc.hwcdsb.ca,http://www.hwcdsb.ca/, 358 ,43.20753,-79.8559,14.8,100,3.9,3.9,8.6,NA,72%,-2,74%,-5,74%,3,88%,11,97%,12,56%,7,NA,NA,NA,NA,NA,NA,16.7,35.5,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),854336,St. Thomas Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,170 Skinner Road,Hamilton,Waterdown,Ontario,L0R2H7,905-523-2328,905-689-4847,http://stth.hwcdsb.ca/,http://www.hwcdsb.ca/, 338 ,43.33078,-79.89371,8.3,100,SP,SP,9.1,NA,79%,-8,64%,-19,48%,-30,73%,-22,60%,-35,47%,5,NA,NA,NA,NA,NA,NA,12.4,43.2,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),855685,St. Thomas More Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,1045 Upper Paradise Rd,Hamilton,Hamilton,Ontario,L9B2N4,905-388-3030,905-388-3056,http://stm.hwcdsb.ca/,http://www.hwcdsb.ca/, 1966 ,43.21365,-79.91991,25.5,99.3,6.1,6.1,12.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76%,-1,39%,-16,75%,-6,15.8,38.6,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),773786,St. Thérèse of Lisieux Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,1760 Garth Street,Hamilton,Hamilton,Ontario,L9B2X5,905-523-2335,905-318-3211,http://sttl.hwcdsb.ca,http://www.hwcdsb.ca/, 733 ,43.2059,-79.916,10,99.9,1.8,1.8,7.6,SP,89%,6,83%,1,73%,-1,85%,-3,82%,-1,62%,17,NA,NA,NA,NA,NA,NA,9.9,41.9,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),858102,St. Vincent de Paul Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,295 Greencedar Dr,Hamilton,Hamilton,Ontario,L9C7M9,905-385-3734,905-385-1211,http://stvp.hwcdsb.ca,http://www.hwcdsb.ca/, 279 ,43.2226,-79.9225,7.5,100,SP,SP,13.6,NA,67%,5,61%,-4,58%,4,91%,26,84%,13,44%,12,NA,NA,NA,NA,NA,NA,15.2,43.9,6/17/2019
B67121,Hamilton-Wentworth CDSB,Cath Dist Sch Brd (E/F),863955,Sts. Peter and Paul Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,49 Fennell Ave E,Hamilton,Hamilton,Ontario,L9A1R5,905-383-4911,905-383-0373,http://stpp.hwcdsb.ca/,http://www.hwcdsb.ca/, 622 ,43.23739,-79.87497,22.5,99.7,7.9,7.9,6.5,SP,72%,2,73%,4,58%,6,83%,11,86%,8,55%,7,NA,NA,NA,NA,NA,NA,22.3,33.7,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),000728,A M Cunningham Junior Public School,Public,Not applicable,Elementary,English,JK-5,,,100 Wexford Avenue South,Hamilton,Hamilton,Ontario,L8K2N8,905-544-7771,905-544-7576,http://schools.hwdsb.on.ca/amcunningham/,http://www.hwdsb.on.ca, 416 ,43.23808,-79.81475,5.5,99.3,3.4,3.4,10.8,NA,73%,13,55%,7,30%,-7,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,19.3,29.7,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),002674,Adelaide Hoodless Public School,Public,Not applicable,Elementary,English,JK-8,,,71 Maplewood Avenue,Hamilton,Hamilton,Ontario,L8M1W7,905-549-1339,905-549-8132,http://schools.hwdsb.on.ca/adelaidehoodless/,http://www.hwdsb.on.ca, 426 ,43.24548,-79.8373,9.2,99.5,5.4,5.4,23,NA,39%,-31,14%,-59,7%,-60,60%,-21,64%,-13,38%,3,NA,NA,NA,NA,NA,NA,38.1,32.8,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),011568,Allan A Greenleaf,Public,Not applicable,Elementary,English,JK-8,,,211 Parkside Drive,Hamilton,Waterdown,Ontario,L0R2H1,905-690-6813,905-690-6816,http://schools.hwdsb.on.ca/aagreenleaf/,http://www.hwdsb.on.ca, 545 ,43.33406,-79.90975,11.4,100,2.8,2.8,12.4,NA,82%,13,78%,-2,71%,-5,82%,-16,80%,-9,51%,-13,NA,NA,NA,NA,NA,NA,18.2,40.8,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),891894,Ancaster High School,Public,Vocational/Occupational,Secondary,English,9-12,,,374 Jerseyville Road West,Hamilton,Ancaster,Ontario,L9G3K8,905-648-4468,905-648-8228,www.hwdsb.on.ca/ancasterhigh,http://www.hwdsb.on.ca, 1198 ,43.21583,-80.00521,15.5,99.9,1.7,1.6,22.1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90%,5,25%,-17,83%,-5,8,52.6,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),287210,Ancaster Meadow Elementary Public School,Public,Not applicable,Elementary,English,JK-8,,,93 Kitty Murray Lane,Hamilton,Ancaster,Ontario,L9K1S3,905-304-3255,905-304-3775,http://schools.hwdsb.on.ca/ancastermeadow/,http://www.hwdsb.on.ca, 632 ,43.22177,-79.9534,37.8,99.8,13.8,14.1,9.1,NA,84%,11,80%,12,64%,11,90%,10,87%,8,61%,12,NA,NA,NA,NA,NA,NA,12.5,64.4,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),018961,Ancaster Senior Public School,Public,Not applicable,Elementary,English,7-8,,,295 Nakoma Road,Hamilton,Ancaster,Ontario,L9G1T2,905-648-4439,905-648-4450,http://schools.hwdsb.on.ca/ancastersenior/,http://www.hwdsb.on.ca, 369 ,43.20807,-79.99317,11.4,99.7,SP,SP,21.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,63.7,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),050415,Balaclava Public School,Public,Not applicable,Elementary,English,JK-8,,,280 10th Concession East,Hamilton,Freelton,Ontario,L8B1H6,905-659-3396,905-659-0901,www.hwdsb.on.ca/balaclava/,http://www.hwdsb.on.ca, 364 ,43.4047,-79.9962,3.6,99.7,NA,NA,12,SP,88%,2,82%,-4,85%,12,88%,-10,84%,-9,40%,-10,NA,NA,NA,NA,NA,NA,7.5,59.8,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),041548,Bellmoore Public School,Public,Not applicable,Elementary,English,JK-8,,,35 Pumpkin Pass,Hamilton,Binbrook,Ontario,L0R1C0,905-692-5435,905-692-9443,http://schools.hwdsb.on.ca/bellmoore/,http://www.hwdsb.on.ca, 1060 ,43.12583101,-79.81159218,14,99.9,1.7,1.7,9.5,SP,78%,6,78%,13,58%,3,77%,0,73%,-7,30%,-11,NA,NA,NA,NA,NA,NA,6.3,40.2,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),090131,Bennetto Elementary School,Public,Not applicable,Elementary,English,JK-8,,,47 Simcoe Street East,Hamilton,Hamilton,Ontario,L8L3N2,905-528-6341,905-528-6097,www.hwdsb.on.ca/bennetto,http://www.hwdsb.on.ca, 493 ,43.26784,-79.86202,23.1,100,8.7,8.3,21.5,NA,33%,-18,27%,-31,29%,-4,59%,7,57%,-8,28%,2,NA,NA,NA,NA,NA,NA,40.9,10.8,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),898848,Bernie Custis Secondary School Secondary School,Public,Not applicable,Secondary,English,9-12,,,,,,,,,,,http://www.hwdsb.on.ca, NA ,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),047961,Beverly Central Public School,Public,Not applicable,Elementary,English,JK-5,,,1346 4th Concession Road West,Hamilton,Troy,Ontario,L0R2B0,905-628-9444,905-628-4723,http://schools.hwdsb.on.ca/beverlycentral/,http://www.hwdsb.on.ca, 188 ,43.29844,-80.07416,SP,100,NA,NA,14.8,NA,84%,-12,80%,-16,80%,-8,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,8.4,49.6,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),041980,Billy Green Elementary School,Public,Not applicable,Elementary,English,JK-8,,,1105 Paramount Drive,Hamilton,Stoney Creek,Ontario,L8J1W2,905-573-3505,905-573-7330,http://schools.hwdsb.on.ca/billygreen/,http://www.hwdsb.on.ca, 481 ,43.20136,-79.79532,41.6,99.4,4.6,5.2,11.6,NA,67%,-3,85%,5,52%,6,71%,0,73%,2,31%,0,NA,NA,NA,NA,NA,NA,24.8,42.3,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),068845,Buchanan Park School,Public,Not applicable,Elementary,English,JK-6,,,30 Laurier Avenue,Hamilton,Hamilton,Ontario,L9C3R9,905-387-5212,905-387-5268,http://schools.hwdsb.on.ca/buchananpark/,http://www.hwdsb.on.ca, 171 ,43.23514,-79.88855,23.4,99.4,10.5,10.5,15.2,NA,52%,-7,62%,15,48%,7,59%,-21,62%,-11,24%,-13,NA,NA,NA,NA,NA,NA,24.9,37.1,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),073130,C H Bray School,Public,Not applicable,Elementary,English,JK-6,,,99 Dunham Drive,Hamilton,Ancaster,Ontario,L9G1X7,905-648-4353,905-648-9291,http://schools.hwdsb.on.ca/chbray/,http://www.hwdsb.on.ca, 306 ,43.21687,-79.99213,16,100,3.9,3.9,10.7,SP,80%,10,71%,1,69%,3,79%,-9,74%,-18,37%,-32,NA,NA,NA,NA,NA,NA,4.4,73.7,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),560408,Cathy Wever Elementary Public School,Public,Not applicable,Elementary,English,JK-8,,,160 Wentworth Street North,Hamilton,Hamilton,Ontario,L8L5V7,905-522-9965,,http://schools.hwdsb.on.ca/cathywever/,http://www.hwdsb.on.ca, 700 ,43.25708,-79.84641,37.7,99.6,18,18,25.2,NA,33%,3,18%,-23,15%,-8,52%,7,52%,4,13%,10,NA,NA,NA,NA,NA,NA,51.7,5.3,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),089257,Cecil B Stirling School,Public,Not applicable,Elementary,English,JK-8,,,340 Queen Victoria Drive,Hamilton,Hamilton,Ontario,L8W1T9,905-385-5374,905-385-0072,www.hwdsb.on.ca/cecilbstirling,http://www.hwdsb.on.ca, 273 ,43.20333,-79.8424,38.1,100,10.6,10.3,10.6,SP,43%,5,39%,15,48%,17,38%,-16,35%,-27,8%,0,NA,NA,NA,NA,NA,NA,30.5,13.3,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),091723,Central Junior Public School,Public,Not applicable,Elementary,English,JK-5,,,75 Hunter Street West,Hamilton,Hamilton,Ontario,L8P1P9,905-522-9690,905-522-9801,http://schools.hwdsb.on.ca/central/,http://www.hwdsb.on.ca, 309 ,43.25412,-79.87451,66.7,99.7,39.8,39.8,9.3,NA,44%,-1,44%,5,22%,-1,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,56.2,30.7,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),105503,Chedoke Middle School,Public,Not applicable,Elementary,English,JK-8,,,500 Bendamere Avenue,Hamilton,Hamilton,Ontario,L9C1R3,905-388-5833,905-388-8278,http://schools.hwdsb.on.ca/chedoke/,http://www.hwdsb.on.ca, 451 ,43.23854,-79.90621,35.3,100,7.5,7.5,18.6,SP,64%,-6,46%,-43,46%,-6,68%,10,82%,18,5%,-13,NA,NA,NA,NA,NA,NA,23.5,47.7,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),117986,Collegiate Avenue School,Public,Not applicable,Elementary,English,JK-8,,,49 Collegiate Avenue,Hamilton,Stoney Creek,Ontario,L8G3L5,905-662-2990,905-662-4823,www.hwdsb.on.ca/collegiateavenue,http://www.hwdsb.on.ca, 296 ,43.22095,-79.74914,40.5,100,3.4,3.4,5,SP,76%,8,74%,6,41%,-7,90%,6,86%,-6,33%,9,NA,NA,NA,NA,NA,NA,21.5,22.9,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),213012,Cootes Paradise Public School,Public,Not applicable,Elementary,English,JK-5,,,900 King Street West,Hamilton,Hamilton,Ontario,L8S1K6,905-522-0601,905-522-4998,http://schools.hwdsb.on.ca/cootesparadise/,http://www.hwdsb.on.ca, 646 ,43.26388,-79.90273,40.4,99.7,19.2,19.5,6.8,NA,62%,-15,56%,-12,46%,-13,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,22.7,60.7,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),132020,Dalewood Senior Public School,Public,Not applicable,Elementary,English,6-8,,,1150 Main Street West,Hamilton,Hamilton,Ontario,L8S1C2,905-528-8631,905-528-8448,http://schools.hwdsb.on.ca/dalewood/,http://www.hwdsb.on.ca, 265 ,43.25832,-79.91315,32.1,98.9,11.3,10.9,27.5,SP,N/D,NA,N/D,NA,N/D,NA,72%,-10,65%,-12,38%,-4,NA,NA,NA,NA,NA,NA,21,65.6,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),903850,Delta Secondary School,Public,Not applicable,Secondary,English,9-12,,,1284 Main Street East,Hamilton,Hamilton,Ontario,L8K1B2,905-549-3031,905-312-0414,http://schools.hwdsb.on.ca/delta/,http://www.hwdsb.on.ca, 639 ,43.2408,-79.81404,3.1,100,SP,SP,39.4,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86%,5,55%,23,50%,-4,28.1,16.1,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),147427,Dr John Seaton Senior Public School,Public,Not applicable,Elementary,English,JK-8,,,1279 Seaton Road,Hamilton,Sheffield,Ontario,L0R1Z0,519-647-3471,519-621-1457,http://schools.hwdsb.on.ca/drjohnseaton/,http://www.hwdsb.on.ca, 195 ,43.3284,-80.20047,SP,100,NA,NA,15.3,SP,67%,12,44%,-1,61%,-12,94%,6,87%,4,58%,1,NA,NA,NA,NA,NA,NA,8.4,44.6,6/17/2019
B66141,Hamilton-Wentworth DSB,Pub Dist Sch Brd (E/F),488921,Dr. J. Edgar Davey (New) Elementary Public School,Public,Not applicable,Elementary,English,JK-8,,,99 Ferguson Ave.,Hamilton,Hamilton,Ontario,L8R1L6,,,http://schools.hwdsb.on.ca/drdavey/,http://www.hwdsb.on.ca, 505 ,43.257702,-79.860436,54.7,99.6,14.3,14.1,16,NA,55%,13,49%,2,31%,5,46%,1,38%,-19,12%,-19,NA,NA,NA,NA,NA,NA,52.1,9.9,6/17/2019
